2023-08_DD 10:43:29:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 10:43:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 10:46:57:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 10:46:57:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 10:48:57:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 10:48:58:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 10:50:05:	 controller:Products	 action:Put	 Method:PUT
2023-08_DD 10:50:05:	 controller:Products	 action:Put	 Method:PUT
2023-08_DD 10:50:22:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 10:50:22:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:41:09:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:41:09:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:10:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:10:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:18:45:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:18:45:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:23:37:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:23:37:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:24:31:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:24:31:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:16:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:16:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:58:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:28:58:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:34:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:34:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:34:53:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:34:53:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:35:40:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:35:40:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:37:40:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:37:40:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:39:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:39:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:35:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:35:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:44:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:44:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 17:37:15:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 17:37:15:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 23:00:28:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 23:00:28:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 00:55:44:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 00:55:44:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 00:56:53:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 00:56:53:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 01:06:51:	 controller:Customers	 action:Post	 Method:POST
2023-08_DD 01:10:37:	 controller:Customers	 action:Get	 Method:GET
2023-08_DD 10:43:44:	 controller:Products	 action:GetLogFile	 Method:GET
2023-08_DD 10:43:44:	 controller:Products	 action:GetLogFile	 Method:GET
2023-08_DD 11:53:19:	 controller:Products	 action:GetLogData	 Method:GET
2023-08_DD 11:53:19:	 controller:Products	 action:GetLogData	 Method:GET
2023-08_DD 12:03:33:	 controller:Products	 action:GetAllCustomersData	 Method:GET
2023-08_DD 12:03:33:	 controller:Products	 action:GetAllCustomersData	 Method:GET
2023-08_DD 14:41:46:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:41:46:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:42:54:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:42:54:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:43:45:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:43:45:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:44:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:44:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:44:48:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:44:48:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:46:11:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 14:46:11:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 14:46:42:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 14:46:42:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:18:37:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:18:37:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:43:33:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:43:33:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:43:47:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:43:47:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:47:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:47:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:47:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:47:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:48:00:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:48:00:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:10:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:10:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:13:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:59:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:51:59:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:02:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:02:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:26:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:26:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:43:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:52:43:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:54:03:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:54:03:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:56:59:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:56:59:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:57:46:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:57:46:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:58:06:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:58:06:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:58:50:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 15:58:50:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:01:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:01:23:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:01:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:01:30:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:05:39:	 controller:Products	 action:Get	 Method:GET
